Country,Country Code,Oblast pcode,Oblast,Raion pcode,Raion,Recorded IDP Arrivals
Ukraine,UA,UA63,Kharkivska,UA6312,Kharkivskyi,159585
Ukraine,UA,UA80,Kyivska,UA8000,Kyivska,151069
Ukraine,UA,UA12,Dnipropetrovska,UA1202,Dniprovskyi,140027
Ukraine,UA,UA23,Zaporizka,UA2306,Zaporizkyi,138834
Ukraine,UA,UA53,Poltavska,UA5308,Poltavskyi,97222
Ukraine,UA,UA63,Kharkivska,UA6302,Bohodukhivskyi,93891
Ukraine,UA,UA05,Vinnytska,UA0502,Vinnytskyi,78009
Ukraine,UA,UA32,Kyivska,UA3202,Bilotserkivskyi,73276
Ukraine,UA,UA21,Zakarpatska,UA2110,Uzhhorodskyi,66230
Ukraine,UA,UA68,Khmelnytska,UA6804,Khmelnytskyi,64590
Ukraine,UA,UA32,Kyivska,UA3208,Buchanskyi,62363
Ukraine,UA,UA71,Cherkaska,UA7108,Cherkaskyi,62296
Ukraine,UA,UA73,Chernivetska,UA7306,Cnernivetskyi,59528
Ukraine,UA,UA32,Kyivska,UA3212,Obukhivskyi,58133
Ukraine,UA,UA51,Odeska,UA5110,Odeskyi,57960
Ukraine,UA,UA26,Ivano-Frankivska,UA2604,Ivano-Frankivskyi,57917
Ukraine,UA,UA12,Dnipropetrovska,UA1206,Kryvorizkyi,55883
Ukraine,UA,UA61,Ternopilska,UA6104,Ternopilskyi,53493
Ukraine,UA,UA48,Mykolaivska,UA4806,Mykolaivskyi,51091
Ukraine,UA,UA53,Poltavska,UA5302,Kremenchutskyi,49521
Ukraine,UA,UA56,Rivnenska,UA5606,Rivnenskyi,48149
Ukraine,UA,UA21,Zakarpatska,UA2104,Mukachivskyi,47428
Ukraine,UA,UA35,Kirovohradska,UA3504,Kropyvnytskyi,41368
Ukraine,UA,UA63,Kharkivska,UA6314,Chuhuivskyi,39232
Ukraine,UA,UA32,Kyivska,UA3204,Boryspilskyi,39199
Ukraine,UA,UA71,Cherkaska,UA7106,Umanskyi,38568
Ukraine,UA,UA18,Zhytomyrska,UA1804,Zhytomyrskyi,36222
Ukraine,UA,UA46,Lvivska,UA4602,Drohobytskyi,35395
Ukraine,UA,UA63,Kharkivska,UA6306,Krasnohradskyi,34137
Ukraine,UA,UA74,Chernihivska,UA7410,Chernihivskyi,34104
Ukraine,UA,UA32,Kyivska,UA3206,Brovarskyi,33410
Ukraine,UA,UA12,Dnipropetrovska,UA1204,Kamianskyi,33281
Ukraine,UA,UA05,Vinnytska,UA0504,Haisynskyi,31018
Ukraine,UA,UA71,Cherkaska,UA7102,Zvenyhorodskyi,29584
Ukraine,UA,UA32,Kyivska,UA3214,Fastivskyi,28443
Ukraine,UA,UA07,Volynska,UA0708,Lutskyi,27786
Ukraine,UA,UA35,Kirovohradska,UA3508,Oleksandriiskyi,27268
Ukraine,UA,UA63,Kharkivska,UA6310,Lozivskyi,27167
Ukraine,UA,UA53,Poltavska,UA5306,Myrhorodskyi,26706
Ukraine,UA,UA46,Lvivska,UA4606,Lvivskyi,26544
Ukraine,UA,UA63,Kharkivska,UA6304,Iziumskyi,25208
Ukraine,UA,UA53,Poltavska,UA5304,Lubenskyi,23546
Ukraine,UA,UA46,Lvivska,UA4610,Stryiskyi,22436
Ukraine,UA,UA68,Khmelnytska,UA6806,Shepetivskyi,22383
Ukraine,UA,UA12,Dnipropetrovska,UA1214,Synelnykivskyi,21587
Ukraine,UA,UA05,Vinnytska,UA0512,Khmilnytskyi,21560
Ukraine,UA,UA59,Sumska,UA5908,Sumskyi,21461
Ukraine,UA,UA61,Ternopilska,UA6106,Chortkivskyi,20588
Ukraine,UA,UA48,Mykolaivska,UA4804,Voznesenskyi,20491
Ukraine,UA,UA46,Lvivska,UA4608,Sambirskyi,19494
Ukraine,UA,UA12,Dnipropetrovska,UA1212,Pavlohradskyi,19319
Ukraine,UA,UA21,Zakarpatska,UA2112,Khustskyi,18934
Ukraine,UA,UA23,Zaporizka,UA2302,Berdianskyi,18679
Ukraine,UA,UA74,Chernihivska,UA7404,Nizhynskyi,18498
Ukraine,UA,UA18,Zhytomyrska,UA1806,Korostenskyi,17954
Ukraine,UA,UA05,Vinnytska,UA0508,Mohyliv-Podilskyi,16997
Ukraine,UA,UA68,Khmelnytska,UA6802,Kamianets-Podilskyi,16699
Ukraine,UA,UA05,Vinnytska,UA0506,Zhmerynskyi,16334
Ukraine,UA,UA05,Vinnytska,UA0510,Tulchynskyi,16309
Ukraine,UA,UA12,Dnipropetrovska,UA1210,Novomoskovskyi,16181
Ukraine,UA,UA12,Dnipropetrovska,UA1208,Nikopolskyi,16081
Ukraine,UA,UA71,Cherkaska,UA7104,Zolotoniskyi,15848
Ukraine,UA,UA07,Volynska,UA0706,Kovelskyi,14628
Ukraine,UA,UA32,Kyivska,UA3210,Vyshhorodskyi,14311
Ukraine,UA,UA48,Mykolaivska,UA4808,Pervomaiskyi,14256
Ukraine,UA,UA26,Ivano-Frankivska,UA2606,Kaluskyi,13931
Ukraine,UA,UA18,Zhytomyrska,UA1808,Novohrad-Volynskyi,13891
Ukraine,UA,UA21,Zakarpatska,UA2108,Tiachivskyi,13765
Ukraine,UA,UA35,Kirovohradska,UA3502,Holovanivskyi,13743
Ukraine,UA,UA46,Lvivska,UA4612,Chervonohradskyi,13580
Ukraine,UA,UA56,Rivnenska,UA5604,Dubenskyi,12778
Ukraine,UA,UA59,Sumska,UA5904,Okhtyrskyi,12737
Ukraine,UA,UA51,Odeska,UA5108,Izmailskyi,12680
Ukraine,UA,UA26,Ivano-Frankivska,UA2612,Nadvirnianskyi,12132
Ukraine,UA,UA07,Volynska,UA0702,Volodymyr-Volynskyi,12122
Ukraine,UA,UA48,Mykolaivska,UA4802,Bashtanskyi,11907
Ukraine,UA,UA35,Kirovohradska,UA3506,Novoukrainskyi,11846
Ukraine,UA,UA61,Ternopilska,UA6102,Kremenetskyi,11665
Ukraine,UA,UA74,Chernihivska,UA7408,Prylutskyi,10503
Ukraine,UA,UA51,Odeska,UA5112,Podilskyi,10269
Ukraine,UA,UA23,Zaporizka,UA2310,Polohivskyi,9623
Ukraine,UA,UA73,Chernivetska,UA7304,Dnistrovskyi,9346
Ukraine,UA,UA56,Rivnenska,UA5608,Sarnenskyi,9127
Ukraine,UA,UA21,Zakarpatska,UA2102,Berehivskyi,9126
Ukraine,UA,UA74,Chernihivska,UA7402,Koriukivskyi,8729
Ukraine,UA,UA51,Odeska,UA5106,Bolhradskyi,8187
Ukraine,UA,UA26,Ivano-Frankivska,UA2608,Kolomyiskyi,8040
Ukraine,UA,UA59,Sumska,UA5906,Romenskyi,7525
Ukraine,UA,UA59,Sumska,UA5910,Shostkynskyi,6861
Ukraine,UA,UA23,Zaporizka,UA2308,Melitopolskyi,6820
Ukraine,UA,UA18,Zhytomyrska,UA1802,Berdychivskyi,6692
Ukraine,UA,UA59,Sumska,UA5902,Konotopskyi,6077
Ukraine,UA,UA56,Rivnenska,UA5602,Varaskyi,6050
Ukraine,UA,UA74,Chernihivska,UA7406,Novhorod-Siverskyi,5679
Ukraine,UA,UA51,Odeska,UA5104,Bilhorod-Dnistrovskyi,5430
Ukraine,UA,UA07,Volynska,UA0704,Kamin-Kashyrskyi,5414
Ukraine,UA,UA73,Chernivetska,UA7302,Vyzhnytskyi,5371
Ukraine,UA,UA23,Zaporizka,UA2304,Vasylivskyi,4342
Ukraine,UA,UA46,Lvivska,UA4604,Zolochivskyi,4293
Ukraine,UA,UA46,Lvivska,UA4614,Yavorivskyi,3493
Ukraine,UA,UA51,Odeska,UA5102,Berezivskyi,3327
Ukraine,UA,UA63,Kharkivska,UA6308,Kupianskyi,3156
Ukraine,UA,UA51,Odeska,UA5114,Rozdilnianskyi,2995
Ukraine,UA,UA21,Zakarpatska,UA2106,Rakhivskyi,2500
Ukraine,UA,UA26,Ivano-Frankivska,UA2610,Kosivskyi,2290
Ukraine,UA,UA26,Ivano-Frankivska,UA2602,Verkhovynskyi,1552
